성별,연령,키,몸무게학업성적,경제상태,건강인지,운동일수,스트레스인지,피로회복정도,음주경험,흡연경험,주중_인터넷이용시간,주말_인터넷이용시간
2.0,14.0,168.0,65.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,180.0,120.0
1.0,14.0,173.0,50.0,2.0,1.0,2.0,8.0,3.0,1.0,1.0,300.0,420.0
1.0,14.0,180.0,66.0,4.0,4.0,3.0,8.0,4.0,2.0,1.0,40.0,30.0
1.0,15.0,168.0,62.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,60.0,60.0
1.0,15.0,177.1,78.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0
1.0,15.0,182.0,79.0,3.0,3.0,1.0,8.0,4.0,1.0,1.0,480.0,600.0
2.0,15.0,159.0,56.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,180.0,360.0
2.0,15.0,160.0,48.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,180.0,360.0
2.0,15.0,167.5,75.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,60.0,180.0
1.0,14.0,165.0,43.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,120.0,180.0
1.0,15.0,171.0,53.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,60.0,120.0
1.0,15.0,175.0,63.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,250.0,320.0
2.0,14.0,161.2,50.0,1.0,1.0,2.0,4.0,5.0,2.0,2.0,90.0,90.0
1.0,15.0,186.1,71.0,4.0,3.0,1.0,4.0,4.0,2.0,2.0,120.0,240.0
2.0,14.0,171.6,57.3,4.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,240.0
2.0,14.0,166.0,53.0,5.0,3.0,2.0,6.0,5.0,2.0,1.0,360.0,300.0
2.0,14.0,162.0,41.0,2.0,2.0,2.0,5.0,3.0,1.0,1.0,120.0,240.0
2.0,14.0,158.0,40.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,240.0,180.0
2.0,14.0,170.0,57.8,2.0,3.0,1.0,8.0,2.0,1.0,1.0,300.0,420.0
2.0,15.0,164.0,48.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,60.0,180.0
2.0,15.0,163.0,50.0,5.0,4.0,1.0,4.0,3.0,1.0,1.0,60.0,420.0
